DotNotation,StandardDescription
CCSS.Math.Content.K.OA.A,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from."
CCSS.Math.Content.K.OA.A.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations."
CCSS.Math.Content.K.OA.A.2,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."
CCSS.Math.Content.K.OA.A.3,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1)."
CCSS.Math.Content.K.OA.A.4,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."
CCSS.Math.Content.K.OA.A.5,Fluently add and subtract within 5.
CCSS.Math.Practice.MP1,Make sense of problems and persevere in solving them.
CCSS.Math.Practice.MP2,Reason abstractly and quantitatively.
CCSS.Math.Practice.MP3,Construct viable arguments and critique the reasoning of others.
CCSS.Math.Practice.MP4,Model with mathematics.
CCSS.Math.Practice.MP5,Use appropriate tools strategically.
CCSS.Math.Practice.MP6,Attend to precision.
CCSS.Math.Practice.MP7,Look for and make use of structure.
CCSS.Math.Practice.MP8,Look for and express regularity in repeated reasoning.
